metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
2-Hydroxyphenylacetic acid;4-Hydroxyphenylacetic acid	PGAM1	-0.133221274	-0.047586811	-0.016099123	0.073801145	0.669630038	0.99999496
2-Oxo-4-methylthiobutanoic acid	PGAM1	-0.019868801	-0.027777531	0.051752479	0.135898149	0.558401307	0.99999496
2-Oxoadipic acid	PGAM1	-0.07479349	-0.002550118	-0.02053504	0.044946826	0.689055051	0.99999496
"2,3-Dihydroxypropyl hexopyranoside"	PGAM1	-0.108249341	-0.06121657	5.43E-04	0.124395528	0.619557245	0.99999496
"2,3-Pyridinedicarboxylic acid"	PGAM1	-0.250528906	-0.056228667	-0.05253562	0.165564564	0.98220404	0.99999496
3-Aminoisobutyric acid;L-2-Aminobutyric acid	PGAM1	-0.017681551	0.054938621	-0.027267865	0.127068897	0.517668057	0.99999496
3-Hydroxy-3-methylglutaric acid	PGAM1	-0.064745682	-0.054184041	-0.002764622	0.140421561	0.714231557	0.99999496
3-Hydroxyanthranilic acid	PGAM1	-0.05828263	-0.071062572	-0.026633082	0.126263217	0.724928323	0.99999496
3-Iodo-L-tyrosine	PGAM1	-0.09609138	-0.05976354	-0.012390677	0.07247637	0.51334903	0.99999496
3-Methoxytyramine	PGAM1	-0.077484833	-0.014147966	-0.022532631	0.144413985	0.953700892	0.99999496
3-Methylglutaconic acid	PGAM1	-0.037561935	-0.001754367	-0.012379775	0.105999007	0.920153291	0.99999496
3-Sulfopyruvic acid	PGAM1	0.056852529	0.302269343	0.18289104	0.24084133	0.620125847	0.99999496
"3,3-Dimethylacrylic acid"	PGAM1	-0.180886774	-0.095280846	-0.029881072	0.132535314	0.621693469	0.99999496
"3,4-Dihydroxyphenylacetic acid"	PGAM1	-0.062280004	-0.050332092	-0.007108282	0.184611494	0.814881028	0.99999496
"3,5-Diiodo-L-tyrosine"	PGAM1	-0.017512242	0.0071076	-0.014303738	0.094513342	0.820779107	0.99999496
4-Guanidinobutyric acid	PGAM1	-0.021440718	0.008291534	0.033210575	0.111543335	0.823222394	0.99999496
4-Hydroxyphenylacetylglycine	PGAM1	-0.104513586	-0.059265106	-0.080647176	0.073300561	0.770512915	0.99999496
4-Hydroxyphenylpyruvic acid	PGAM1	-0.068425449	-0.001905565	-0.012745134	0.077325775	0.888517345	0.99999496
4-Imidazoleacetic acid	PGAM1	-0.13825279	-0.008980206	0.016721076	0.039582766	0.516141342	0.99999496
4-Imidazoleacrylic acid	PGAM1	-0.106252653	0.028336364	0.031540443	0.050938402	0.949845299	0.99999496
4-Phenylbutanoic acid	PGAM1	-0.064949578	-0.065805637	-0.016544143	0.100180175	0.622910961	0.99999496
"4,6-Dioxoheptanoic acid"	PGAM1	-0.08262415	0.01491524	-0.008295577	0.055220985	0.674247297	0.99999496
5-Hydroxy-L-tryptophan	PGAM1	0.008733606	0.068302989	0.025080247	0.198649085	0.827753725	0.99999496
5-Methoxytryptamine	PGAM1	0.044451895	0.034105176	0.04840221	0.175500936	0.935072835	0.99999496
5-Methyltetrahydrofolic acid	PGAM1	-0.089490554	-0.026501707	0.011264558	0.152168575	0.80398971	0.99999496
5-Methyluridine	PGAM1	-0.139776604	-0.02024141	0.023170685	0.065899259	0.510046989	0.99999496
6-Deoxy-L-galactonic acid	PGAM1	-0.111045087	-0.110264021	-0.026453834	0.144370831	0.561563853	0.99999496
Acetyl coenzyme A	PGAM1	-0.124534884	-0.057062774	-0.043366561	0.374016088	0.970788543	0.99999496
Acetylamino-acetic acid	PGAM1	-0.102176621	-0.053452295	-0.040650891	0.162734919	0.93729976	0.99999496
Acetylcholine	PGAM1	-0.299470995	-0.07509174	-0.010488324	0.102556565	0.52874064	0.99999496
Adenosine 5-phosphosulfate	PGAM1	-0.055568974	0.057722609	0.026269935	0.057257564	0.582786474	0.99999496
Adenosine diphosphate;Deoxyguanosine 5-diphosphate	PGAM1	-0.103159973	-0.111353478	-0.041999394	0.142361499	0.626138696	0.99999496
Adenosine monophosphate	PGAM1	0.074903632	0.027248655	-0.005934305	0.253751087	0.89595747	0.99999496
Adenosine triphosphate;Deoxyguanosine triphosphate	PGAM1	0.124315912	0.093062381	-0.015531587	0.242262009	0.653972714	0.99999496
Agmatine	PGAM1	-0.134180486	-0.027172134	0.019330203	0.114865106	0.685592902	0.99999496
AICAR	PGAM1	-0.110356154	-0.087625294	-0.071418722	0.121216151	0.893639984	0.99999496
Anserine	PGAM1	-0.157774552	-0.061340489	-0.027945443	0.048625798	0.492223687	0.99999496
Ascorbate	PGAM1	-0.045693292	0.033502516	-0.059774424	0.313454193	0.766025591	0.99999496
Benzoate	PGAM1	-0.0447042	-0.016748656	-0.006101456	0.087555837	0.903212108	0.99999496
Betaine	PGAM1	-0.162918475	-0.009488479	-0.074082033	0.170075222	0.704098317	0.99999496
Betaine aldehyde	PGAM1	-0.328465417	-0.072732295	-0.04639906	0.1399977	0.850800125	0.99999496
Biocytin	PGAM1	-0.103256024	-0.03147399	-0.01751799	0.051332463	0.785718342	0.99999496
Biotin	PGAM1	-0.100484147	0.00792058	0.008259173	0.072580161	0.996277809	0.99999496
Butyryl coenzyme A	PGAM1	-0.211822237	-0.055882216	-0.014470509	0.172428188	0.810200137	0.99999496
Cadaverine	PGAM1	-0.18414604	-0.058159717	-0.048758896	0.151809173	0.950622363	0.99999496
Carnitine	PGAM1	-0.182465367	-0.01436432	0.001665506	0.071956479	0.823713639	0.99999496
CDP-ethanolamine	PGAM1	-0.099277848	0.002623361	-0.002177118	0.046905148	0.918483331	0.99999496
CDP-Glycerol	PGAM1	-0.117267128	0.009881246	0.023606017	0.077284116	0.859046153	0.99999496
Choline glycerophosphate	PGAM1	-0.131480257	0.101151859	0.159693607	0.387254289	0.879840562	0.99999496
cis-4-Hydroxy-D-proline;trans-4-Hydroxy-L-proline	PGAM1	-0.167192682	-0.019866924	-0.010846986	0.040325383	0.823007153	0.99999496
Citraconic acid	PGAM1	-0.066944153	0.02045816	-0.020500043	0.078097877	0.599967628	0.99999496
Citramalic acid;D-2-Hydroxyglutaric acid;L-2-Hydroxyglutaric acid;3-Hydroxyglutaric acid	PGAM1	-0.126066479	-0.005733503	-0.00799668	0.128426344	0.98594011	0.99999496
Creatine	PGAM1	-0.095546258	0.009549178	-6.85E-04	0.075782282	0.892576569	0.99999496
Crotonoyl coenzyme A	PGAM1	-0.134698053	0.087014666	0.091053791	1.029717337	0.99687026	0.99999496
Cyclic AMP	PGAM1	-0.064072935	0.01429999	-0.008478362	0.12832702	0.859113794	0.99999496
Cyclic GMP	PGAM1	-0.021069283	0.023283028	0.021792176	0.072169885	0.983518841	0.99999496
Cysteamine	PGAM1	-0.035473403	0.053182465	-0.01527192	0.106697867	0.521150987	0.99999496
Cytidine-5-monophospho-N-acetylneuraminic acid	PGAM1	-0.086137782	-0.054724177	-0.022955992	0.101242997	0.75368696	0.99999496
Cytidine 5-diphosphocholine	PGAM1	-0.063621988	-0.015197981	-0.024983564	0.089249641	0.912692652	0.99999496
Cytidine monophosphate	PGAM1	-0.1187838	0.156983523	0.151852994	0.145517022	0.971874616	0.99999496
D-Arabitol;Adonitol;D-Xylitol	PGAM1	-0.069498296	0.01211196	0.03784429	0.121675218	0.832509821	0.99999496
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	PGAM1	-0.158291924	-0.044954509	-0.031837473	0.133491051	0.921724616	0.99999496
D-Fructose;D-Galactose;Myoinositol	PGAM1	-0.191182732	-0.059961245	-0.018372114	0.103198102	0.686946115	0.99999496
D-Galactaric acid	PGAM1	-0.124591598	-0.053717248	-0.020963823	0.060736695	0.589701162	0.99999496
D-Gluconic acid	PGAM1	-0.139784936	-0.050675453	-0.024717419	0.049408225	0.599319896	0.99999496
D-Glucosamine	PGAM1	-0.150312107	-0.035098217	-0.019593399	0.070527724	0.825995739	0.99999496
D-Glucosamine 6-phosphate	PGAM1	-0.175201643	-0.08618214	-0.032196548	0.13384421	0.686693344	0.99999496
D-Glucose;D-Mannose	PGAM1	-0.102121517	-0.021512321	0.007293217	0.129706474	0.824249658	0.99999496
D-Glucuronic acid	PGAM1	-0.1397366	-0.029372642	-0.024862403	0.035990685	0.900272721	0.99999496
D-Glutamic acid	PGAM1	-0.039769787	-0.036625326	-0.056289382	0.127299788	0.877238805	0.99999496
D-Lactaldehyde	PGAM1	-0.112476413	-0.014427266	-0.021659218	0.063825301	0.909785947	0.99999496
D-Lactose;D-Maltose;Melibiose	PGAM1	-0.083508818	-0.038157401	0.008404745	0.135591313	0.731297061	0.99999496
D-Raffinose	PGAM1	-0.092062125	-0.046012504	-0.016111756	0.149286893	0.841253383	0.99999496
D-Ribose 1-phosphate;D-Ribose 5-phosphate;D-Xylulose 5-phosphate	PGAM1	-0.135499246	-0.03951356	-0.050101603	0.13476458	0.937377068	0.99999496
D-Ribose;D-Xylulose	PGAM1	-0.172738699	-0.066749079	-0.010478227	0.135022753	0.67686063	0.99999496
D-Sedoheptulose 7-phosphate	PGAM1	-0.141473688	-0.143330835	-0.062820652	0.159708429	0.614185985	0.99999496
D-Sorbitol	PGAM1	-0.019991974	0.05229278	7.22E-04	0.114219835	0.651624342	0.99999496
D-Tagatose 6-phosphate	PGAM1	-0.143106684	0.023275869	0.021405786	0.150340304	0.99007537	0.99999496
Decanoic acid	PGAM1	-0.043850615	-0.060501499	-0.043007715	0.176035116	0.920839203	0.99999496
Deoxyadenosine diphosphate	PGAM1	0.037642542	0.002729317	-0.051157471	0.200799568	0.788421399	0.99999496
Deoxyadenosine monophosphate	PGAM1	-0.074143783	-0.04354354	-0.03139963	0.109698588	0.911852244	0.99999496
Deoxyuridine triphosphate	PGAM1	-0.066182531	0.113873485	0.135076597	0.321837463	0.947472226	0.99999496
Dephosphocoenzyme A	PGAM1	0.92449953	0.171199112	-0.048616423	0.582845242	0.706067935	0.99999496
Dihydrothymine	PGAM1	-0.063697262	0.033442558	0.060968018	0.187048166	0.883008046	0.99999496
Dihydrouracil	PGAM1	-0.163790007	-0.011398092	0.022889703	0.062980514	0.586153106	0.99999496
Dimethylaminopurine	PGAM1	0.055508764	0.11239075	0.028945225	0.168850758	0.621167112	0.99999496
Dimethylglycine;Gamma-Aminobutyric acid	PGAM1	-0.178067889	-0.037628189	-0.024406672	0.075929124	0.861763513	0.99999496
"DL-3,4-Dihydroxyphenyl glycol"	PGAM1	-0.181544739	-0.065423995	-0.018521765	0.078501719	0.550195266	0.99999496
DL-4-Hydroxy-3-methoxymandelic acid	PGAM1	-0.142368163	-0.039976804	-0.019970016	0.062089898	0.747283822	0.99999496
DL-5-Hydroxylysine	PGAM1	-0.185883746	-0.048739801	-0.018265831	0.069670808	0.661821711	0.99999496
DL-Homocysteine	PGAM1	-0.105162972	-0.024699699	-0.010024852	0.063821302	0.818141106	0.99999496
DL-Homocystine	PGAM1	-0.087874665	0.04362725	-0.005670234	0.094870591	0.603322379	0.99999496
Dodecanedioic acid	PGAM1	-0.10378464	-0.082403636	-0.044001394	0.116647631	0.74199259	0.99999496
Dulcitol	PGAM1	-0.105462716	0.002852652	-0.003208425	0.122328675	0.960483008	0.99999496
Flavin adenine dinucleotide	PGAM1	-0.033547216	-0.041926433	-0.080468684	0.138951725	0.781489323	0.99999496
Flavin Mononucleotide	PGAM1	-0.009778015	0.003566795	-0.017802898	0.096067994	0.823968714	0.99999496
Folinic acid	PGAM1	-0.087789943	-0.07728381	-0.020848435	0.159834998	0.724024554	0.99999496
Galactinol;Trehalose	PGAM1	-0.114173479	-0.081862737	-0.032400805	0.089122534	0.578902909	0.99999496
Gamma-Glu-Cys	PGAM1	0.126921019	-0.031752937	-0.030111852	0.323121192	0.99594768	0.99999496
Glutaric acid;Ethylmalonic acid	PGAM1	-0.140390104	-0.049824211	-0.018057094	0.061613116	0.606140672	0.99999496
Glutathione disulfide	PGAM1	-0.2599573	0.053933584	0.015443674	0.436802164	0.929783294	0.99999496
Glycerol 3-phosphate	PGAM1	-0.116714168	-0.021798463	8.02E-04	0.056213567	0.687656125	0.99999496
Guanidineacetic acid	PGAM1	-0.103614259	-0.012660119	0.003704289	0.068913589	0.812297841	0.99999496
Guanine	PGAM1	-0.017754806	0.020162866	0.021431217	0.121853844	0.991695137	0.99999496
Guanosine	PGAM1	-0.056639707	0.016695531	0.016767042	0.058649934	0.999027151	0.99999496
Hippuric acid	PGAM1	-0.165313769	-0.012094504	0.022552986	0.089612251	0.699024311	0.99999496
Histamine	PGAM1	-0.115558133	-0.020134445	-0.005089456	0.092997917	0.871480916	0.99999496
Homocitrulline	PGAM1	-0.107939081	-0.004737176	2.06E-04	0.07560217	0.94786476	0.99999496
Hypotaurine	PGAM1	-0.154603307	-0.004417487	-0.006510628	0.056336635	0.970362077	0.99999496
Hypoxanthine	PGAM1	-0.027207436	0.031073342	0.004945742	0.089250431	0.769717219	0.99999496
Indole-3-pyruvic acid	PGAM1	0.094373924	0.022479241	0.010093998	0.260445045	0.962071572	0.99999496
Inosine	PGAM1	0.074119701	0.109475177	0.040260556	0.129788099	0.593833244	0.99999496
Isovaleric acid	PGAM1	-0.176247894	-0.058854405	-0.032348104	0.049181047	0.589918889	0.99999496
Isovaleryl coenzyme A	PGAM1	-0.139241289	0.059416807	0.051184798	0.280246696	0.976566187	0.99999496
L-a-Aspartyl-L-phenylalanine	PGAM1	-0.062827027	0.178236374	0.115003312	0.123722699	0.609290144	0.99999496
L-Alanine;Beta-alanine	PGAM1	-0.120979893	-0.028494704	-0.003541331	0.086507579	0.77299999	0.99999496
L-alpha-Glycerophosphorylcholine	PGAM1	-0.120742978	0.114109769	0.133080602	0.180998971	0.916525124	0.99999496
L-Arabinose;L-Ribulose;D-Xylose	PGAM1	-0.178134707	-0.028349179	-0.007335515	0.098996567	0.831899056	0.99999496
L-Arabitol;2-Deoxy-D-ribonic acid	PGAM1	-0.120944686	-0.092158703	-0.027452492	0.101742004	0.524787333	0.99999496
L-Asparagine;Ureidopropionic acid	PGAM1	-0.154849503	-0.030830713	-0.007455051	0.072932859	0.748582255	0.99999496
L-Aspartic acid;D-Aspartic acid	PGAM1	-0.089061682	-0.020245815	-0.014485291	0.071685546	0.935952347	0.99999496
L-Carnosine	PGAM1	-0.076595894	-0.023261316	-6.03E-04	0.097492722	0.816218712	0.99999496
L-Cystathionine	PGAM1	-0.112954377	-0.014204107	-0.010574101	0.040662451	0.928865982	0.99999496
L-Cysteic acid	PGAM1	-0.080016717	-0.008538293	-0.017460025	0.054629618	0.870271929	0.99999496
L-Cysteine	PGAM1	-0.161142988	-0.051626248	-0.030172168	0.070281816	0.760169735	0.99999496
L-Dihydroorotic acid	PGAM1	-0.109983864	0.084921299	0.018471652	0.097041499	0.493498566	0.99999496
L-Fucose	PGAM1	-0.070152549	0.036912978	-6.32E-04	0.153281105	0.806501944	0.99999496
L-Fucose 1-phosphate	PGAM1	-0.145070497	-0.051415068	-0.049031861	0.129789255	0.985349968	0.99999496
L-Glutamic acid	PGAM1	-0.173626992	-0.021087246	-0.010400595	0.06264753	0.864551069	0.99999496
L-Glutamine;D-Glutamine;Ureidoisobutyric acid	PGAM1	-0.102979599	9.55E-05	-0.010766489	0.079556421	0.891400551	0.99999496
L-Histidine	PGAM1	-0.119214209	-0.013834406	-0.006338209	0.067509521	0.911585332	0.99999496
L-Kynurenine	PGAM1	-0.081372551	0.026936331	0.031002795	0.068005265	0.952317865	0.99999496
L-Malic acid	PGAM1	-0.216601875	-0.035039103	-0.07870677	0.14332361	0.760610791	0.99999496
L-Methionine	PGAM1	-0.127021041	-0.060359933	-0.045012814	0.115735855	0.894506012	0.99999496
L-Phenylalanine	PGAM1	-0.097309419	-0.013896076	-0.012057681	0.043037491	0.965927823	0.99999496
L-Pipecolic acid	PGAM1	-0.211806089	-0.032582426	-0.010854432	0.052980303	0.681721905	0.99999496
L-Proline;D-Proline	PGAM1	-0.176576878	-0.020096439	-0.014428698	0.050138914	0.909998242	0.99999496
L-Pyroglutamic acid;D-Pyroglutamic Acid	PGAM1	-0.160256488	-0.049307172	-0.025269195	0.051851492	0.642939524	0.99999496
L-Saccharopine	PGAM1	-0.123683493	-0.025628822	-0.011725174	0.047384662	0.769200482	0.99999496
L-Tryptophan	PGAM1	-0.036351336	-0.021331735	0.009684947	0.093063912	0.738920167	0.99999496
L-Tyrosine	PGAM1	-0.044370674	-0.002150022	-0.011081427	0.105738108	0.932684957	0.99999496
Maleic acid	PGAM1	-0.13980408	-0.017816202	-0.023219903	0.118324413	0.963574452	0.99999496
Metanephrine	PGAM1	-0.071166875	0.029294677	-0.014406598	0.264488932	0.868763641	0.99999496
N-2-Furoylglycine	PGAM1	-0.171993757	-0.00143471	0.019518066	0.053054663	0.692895972	0.99999496
N-a-Acetyl-L-ornithine	PGAM1	-0.038049743	0.030593081	0.018365488	0.140769653	0.93078087	0.99999496
N-Acetyl-Asp-Glu	PGAM1	-0.185065475	0.031147979	-0.053474939	0.139424324	0.543887307	0.99999496
N-Acetyl-D-galactosamine;N-Acetyl-D-glucosamine	PGAM1	-0.046449153	0.009943446	-0.027917004	0.106235652	0.721554678	0.99999496
N-Acetyl-D-glucosamine 6-phosphate	PGAM1	-0.119878266	-0.022879076	-0.004095949	0.053648556	0.726252914	0.99999496
N-Acetyl-D-mannosamine	PGAM1	-0.077279406	-0.009815269	-0.00278905	0.102648892	0.945428177	0.99999496
N-Acetyl-L-alanine;Propionylglycine	PGAM1	-0.146675137	-0.083949376	-0.035184013	0.138467748	0.724704404	0.99999496
N-Acetyl-L-aspartate	PGAM1	-0.201692144	-0.041571647	-0.039344858	0.160675835	0.988942556	0.99999496
N-Acetyl-L-glutamic acid	PGAM1	-0.170207505	-0.047662283	-0.056982241	0.132705701	0.944010373	0.99999496
N-Acetylneuraminic acid	PGAM1	-0.114314489	-0.018195517	-0.020004711	0.048828258	0.970443383	0.99999496
N-Acetylputrescine	PGAM1	-0.108755282	0.009865344	-0.014579731	0.226895166	0.914204072	0.99999496
N-Glycolylneuraminic acid	PGAM1	-0.114637259	-0.014930408	-0.014467026	0.048605071	0.992393387	0.99999496
N-Hexanoyl-glycine	PGAM1	-0.144673607	-0.052399817	-0.022583864	0.046060096	0.517420194	0.99999496
N-methyl-4-pyridone-3-carboxamide	PGAM1	-0.19266051	-0.025732939	-0.014931284	0.077742688	0.889496686	0.99999496
"N,N-Diacetylchitobiose"	PGAM1	-0.062693794	-0.030162724	-0.006212403	0.095535725	0.802049982	0.99999496
NAD	PGAM1	-0.088771129	-0.117147142	-0.012554282	0.188752259	0.579491438	0.99999496
NADH	PGAM1	-0.286627885	0.613137772	0.088878397	0.887064184	0.554517066	0.99999496
NADPH	PGAM1	-0.281224745	0.202978981	0.039772156	0.509342196	0.748644908	0.99999496
Nicotinamide	PGAM1	-0.138363196	0.009886491	0.019536423	0.061070053	0.874445664	0.99999496
Nicotinamide hypoxanthine dinucleotide	PGAM1	-0.08738429	-0.083337811	-0.002544117	0.127401437	0.525972316	0.99999496
Nicotinic acid	PGAM1	-0.153830926	0.019376579	0.018326192	0.08123791	0.98968383	0.99999496
O-Acetyl-L-carnitine	PGAM1	-0.175361896	0.002438415	-0.001109946	0.0808749	0.965004294	0.99999496
O-Phospho-L-serine	PGAM1	-0.142512923	0.008125862	-0.041294091	0.134860229	0.71402698	0.99999496
O-Phosphorylethanolamine	PGAM1	-0.132041785	0.007791163	-0.023504711	0.122517487	0.798383237	0.99999496
Octanoic acid	PGAM1	-0.081478222	-0.059047687	-0.027450138	0.126921513	0.803396784	0.99999496
Octanoyl coenzyme A	PGAM1	-0.276897642	0.104234329	0.043945927	0.26204507	0.818038289	0.99999496
Orotic acid	PGAM1	-0.131080853	-0.045932473	-0.04158727	0.144778741	0.976056914	0.99999496
Orotidine 5-monophosphate	PGAM1	-0.143318044	-0.078995714	0.022989282	0.224002094	0.648903565	0.99999496
Pantothenic acid	PGAM1	-0.151547742	-0.013468429	5.96E-04	0.065696194	0.830486068	0.99999496
Phenethylamine	PGAM1	-0.145676687	-0.023314945	-0.032189758	0.122224457	0.942115848	0.99999496
Phenylpyruvate	PGAM1	-0.026123573	-0.017621016	-0.010923599	0.112818704	0.952661857	0.99999496
Phosphatidylethanolamine	PGAM1	-0.074068783	-0.069162148	-0.002169088	0.192367098	0.727647688	0.99999496
Phosphatidylglycerol	PGAM1	-0.004957766	-0.031275133	0.031228628	0.195335149	0.748981863	0.99999496
Phosphatidylserine	PGAM1	-0.087988443	-0.015067472	0.017773673	0.166275937	0.843428528	0.99999496
Phosphocholine	PGAM1	-0.184986502	-0.028540612	0.016990822	0.071721847	0.525536986	0.99999496
Phosphocreatine	PGAM1	-0.109542872	-0.042590186	0.008635642	0.104388083	0.623621054	0.99999496
Propionyl coenzyme A	PGAM1	-2.296133006	0.139114373	0.209956773	0.484866383	0.883836876	0.99999496
Prostaglandin E2;Prostaglandin I2;Prostaglandin D2	PGAM1	0.006462698	-0.031026024	-0.041598358	0.129404277	0.934885249	0.99999496
Putrescine	PGAM1	-0.201316729	-0.097573316	-0.054179268	0.248852584	0.861569563	0.99999496
Pyridoxal	PGAM1	0.127544386	0.190204098	0.088695135	0.243427276	0.676679043	0.99999496
Pyridoxamine	PGAM1	-0.093993875	-0.024803911	0.035489962	0.113624747	0.595668043	0.99999496
Pyridoxine;Norepinephrine	PGAM1	-0.042108923	0.052502604	0.040846127	0.076219039	0.878450381	0.99999496
Riboflavin	PGAM1	0.135852386	0.111114939	0.03668807	0.202232443	0.712853583	0.99999496
S-(5-Adenosyl)-L-homocysteine	PGAM1	-3.47E-04	-0.065197289	-0.028564091	0.202969306	0.856770736	0.99999496
S-(5-Adenosyl)-L-methionine	PGAM1	-0.178013859	-0.11764255	0.002591492	0.241252861	0.618220784	0.99999496
S-Lactoylglutathione	PGAM1	-0.011929012	-0.054972255	-0.06668743	0.196087488	0.952359023	0.99999496
Sarcosine	PGAM1	0.003994092	0.053073407	-0.028159525	0.134826378	0.546841167	0.99999496
Succinic acid;Methylmalonic acid	PGAM1	-0.147342149	-0.043549776	-0.016001134	0.057052112	0.629189432	0.99999496
Succinyl coenzyme A	PGAM1	-0.165747063	0.076484255	-0.016627231	0.164104259	0.570447708	0.99999496
Sucrose;Isomaltose	PGAM1	-0.096909996	-0.039556791	-0.013266395	0.129163499	0.838710218	0.99999496
Taurine	PGAM1	-0.179431206	-0.018891829	0.002624787	0.046158441	0.641110338	0.99999496
Thymidine	PGAM1	-0.092504651	-0.006182394	-0.054789839	0.179453762	0.78649614	0.99999496
Thymidine monophosphate	PGAM1	-0.14674428	-0.065412268	-0.053188984	0.127179154	0.923432612	0.99999496
Thymine	PGAM1	-0.032762409	0.047855003	0.008990482	0.126654207	0.758953477	0.99999496
Trans-beta-Hydromuconic acid	PGAM1	-0.077616938	0.030959546	0.004821182	0.057538018	0.649627392	0.99999496
Tyramine	PGAM1	-0.062517302	-0.009118948	-0.02930305	0.124330556	0.871036349	0.99999496
UDP-GlcNAc;UDP-GalNAc	PGAM1	-0.084894362	-0.053585582	-0.025156044	0.09045254	0.753290641	0.99999496
Uracil	PGAM1	-0.044327734	0.030174223	0.01956782	0.115161187	0.92661819	0.99999496
Urea	PGAM1	0.027587562	0.086119793	0.021911294	0.134073144	0.632005151	0.99999496
Uric acid	PGAM1	0.103997632	0.198286886	0.136218273	0.184246932	0.736209384	0.99999496
Uridine	PGAM1	-0.032011119	0.043981329	0.048285749	0.159366056	0.978452045	0.99999496
Uridine 5-diphosphoglucose;Uridine 5-diphosphogalactose	PGAM1	-0.127249629	0.063084259	0.062164717	0.164412531	0.995537538	0.99999496
Uridine monophosphate	PGAM1	-0.103940079	0.060866987	0.037993432	0.07161853	0.749438073	0.99999496
Xanthine	PGAM1	0.086943559	0.138226066	0.081799141	0.167426665	0.736098266	0.99999496
Xanthosine	PGAM1	-0.059251766	0.024049134	0.007984256	0.058119177	0.782231116	0.99999496
Xanthurenic acid	PGAM1	0.452568662	0.060756085	-0.009515436	0.247562386	0.776522431	0.99999496
Phosphoenolpyruvic acid	PGAM2	-4.741909481	-2.852208948	-0.010772253	0.134322812	2.55E-99	2.39E-96
"2,3-Diphosphoglyceric acid"	PGAM2	-4.543291533	-2.463757652	0.03087714	0.139404685	1.29E-71	7.72E-69
D-3-Phosphoglyceric acid	PGAM2	-3.136342163	-2.326686096	-0.012775794	0.156699583	2.41E-49	9.60E-47
3-Phosphoadenosine 5-phosphosulfate	PGAM2	0.477411405	1.876215361	-0.024272822	0.154862688	1.28E-34	3.37E-32
5-Methoxy-3-indoleacetic acid	PGAM2	0.982344448	1.161950776	0.060991431	0.1094798	8.62E-24	1.54E-21
"2,3-Dihydroxypropanoic acid"	PGAM2	1.09338984	1.068625204	-0.035659738	0.129012058	1.13E-17	1.41E-15
D-Tagatose 6-phosphate	PGAM2	-1.548516901	-1.258154615	0.021405786	0.150340304	1.72E-17	2.10E-15
5-Phospho-D-ribose 1-diphosphate	PGAM2	-6.100956453	-1.986562433	0.090984727	0.253162246	2.28E-16	2.59E-14
3-Hydroxy-3-methylglutaryl coenzyme A	PGAM2	-2.17169627	-1.05371476	-0.005737226	0.145384315	5.66E-13	5.04E-11
Indole-3-acetic acid	PGAM2	0.385449898	0.595443217	0.036589961	0.092714426	1.66E-09	1.05E-07
"Adenosine 3,5-diphosphate"	PGAM2	-0.064794476	0.699457017	-0.024112987	0.123388279	4.51E-09	2.70E-07
Cytidine 5-triphosphate	PGAM2	-1.841112449	0.910614325	0.063793588	0.145415254	5.76E-09	3.40E-07
Thymidine 5-triphosphate	PGAM2	-1.37713121	1.273506891	0.071663792	0.20875358	8.55E-09	4.88E-07
S-(5-Adenosyl)-L-methionine	PGAM2	-1.946182882	-1.375148978	0.002591492	0.241252861	1.12E-08	6.36E-07
Deoxycytidine triphosphate	PGAM2	-1.335320212	1.0174261	0.069367356	0.166792647	1.32E-08	7.38E-07
PIP3	PGAM2	-6.632442921	-1.857211761	0.022731055	0.33548432	2.10E-08	1.14E-06
PIP2	PGAM2	-1.24859493	1.313193179	0.01774517	0.233729607	2.98E-08	1.58E-06
Adenylosuccinic acid	PGAM2	-4.214000558	-0.680537389	-0.020366598	0.152018329	1.41E-05	4.58E-04
Diadenosine triphosphate	PGAM2	0.174661641	1.246505702	0.008690444	0.293310506	2.44E-05	7.49E-04
Uridine monophosphate	PGAM2	-0.383735873	-0.248980577	0.037993432	0.07161853	6.15E-05	0.001688813
2-Deoxyadenosine 5-triphosphate	PGAM2	-1.151400214	0.863883993	0.031551156	0.221347627	1.70E-04	0.004075404
N-Acetyl-Asp-Glu	PGAM2	-0.280315147	0.468513187	-0.053474939	0.139424324	1.81E-04	0.004312198
Guanosine	PGAM2	-0.101870945	-0.193597298	0.016767042	0.058649934	3.35E-04	0.007275729
Cytidine	PGAM2	0.564143517	0.600554836	0.054795943	0.157761189	5.41E-04	0.010997796
6-Phosphogluconic acid	PGAM2	-0.703382488	-1.352860929	0.060890324	0.410527095	5.74E-04	0.011494803
3-Methyl-2-oxovaleric acid;4-Methyl-2-oxovaleric acid	PGAM2	-0.164383623	-0.15079615	0.00165696	0.045073457	7.19E-04	0.01390553
Xanthosine 5-monophosphate	PGAM2	-1.35522823	-0.280194234	0.017586452	0.089592398	8.88E-04	0.016566771
Pyruvate	PGAM2	-0.282283968	-0.202739016	-0.013880068	0.057725654	0.001069165	0.019384238
Thiamine	PGAM2	0.513744716	0.668276051	0.00926001	0.210549006	0.001748129	0.029189488
"D-myo-Inositol-1,4,5-triphosphate"	PGAM2	-4.408636767	-0.66329237	0.022416839	0.224894265	0.002295821	0.036361322
