metabolite	query_protein	log2_abundance	log2_abundance_corrected	met_mean	met_sd	p_value	q_value
Sucrose;Isomaltose	LDHB	-0.231358697	-0.207890687	-0.013266395	0.129163499	0.131860478	0.630407936
D-Fructose;D-Galactose;Myoinositol	LDHB	-0.268726354	-0.17227664	-0.018372114	0.103198102	0.135869534	0.640811081
5-Methoxy-3-indoleacetic acid	LDHB	0.127069162	0.223801112	0.060991431	0.1094798	0.136982926	0.643530265
L-Leucine;L-Isoleucine;L-Alloisoleucine	LDHB	-0.256232864	-0.125386681	-0.03123773	0.06399667	0.141249498	0.653049306
N-Hexanoyl-glycine	LDHB	-0.217104944	-0.089831801	-0.022583864	0.046060096	0.144288898	0.661060265
AICAR	LDHB	-0.265257335	-0.247890242	-0.071418722	0.121216151	0.145436402	0.663523219
S-Lactoylglutathione	LDHB	-0.295885593	-0.349257104	-0.06668743	0.196087488	0.149573727	0.672719308
"1,3-Diaminopropane"	LDHB	-0.290054477	-0.221655597	0.00580828	0.158470022	0.15118032	0.675803005
Phenylpyruvate	LDHB	-0.182905084	-0.170630351	-0.010923599	0.112818704	0.156891108	0.688615595
Thymidine monophosphate	LDHB	-0.25571014	-0.23271358	-0.053188984	0.127179154	0.158071242	0.691105231
Deoxyuridine triphosphate	LDHB	-0.494398931	-0.316691225	0.135076597	0.321837463	0.160403967	0.695668591
L-Gulonic acid gamma-lactone	LDHB	-0.214978852	-0.237641936	-0.037623141	0.142738174	0.16112482	0.696909076
"D-Fructose 1,6-bisphosphate;D-Glucose 1,6-bisphosphate"	LDHB	-0.304786388	0.176423487	-0.035118689	0.151155875	0.161664033	0.697351431
D-Tagatose 6-phosphate	LDHB	-0.292142907	-0.187912701	0.021405786	0.150340304	0.163832211	0.70230059
L-Threonine	LDHB	-0.243931576	-0.098284419	-0.026316439	0.052101065	0.167182146	0.708793023
Phenethylamine	LDHB	0.021097596	0.133780713	-0.032189758	0.122224457	0.174490535	0.723656568
N-Acetyl-D-glucosamine 1-phosphate	LDHB	-0.287928247	-0.304004803	0.033601336	0.249158387	0.175422	0.725487589
L-Fucose 1-phosphate	LDHB	-0.317232234	-0.223997535	-0.049031861	0.129789255	0.177634201	0.729121008
L-Arabinose;L-Ribulose;D-Xylose	LDHB	-0.263627787	-0.140613348	-0.007335515	0.098996567	0.178209837	0.730243956
"N,N-Diacetylchitobiose"	LDHB	-0.237655272	-0.134427641	-0.006212403	0.095535725	0.179574633	0.733209664
D-Fructose 6-phosphate;D-Galactose 1-phosphate;D-Glucose 1-phosphate;D-Glucose 6-phosphate;D-Mannose 1-phosphate;D-Mannose 6-phosphate	LDHB	-0.300250392	-0.20936641	-0.031837473	0.133491051	0.183553227	0.740603488
N-Acetylneuraminic acid	LDHB	-0.205143391	-0.084573255	-0.020004711	0.048828258	0.186048249	0.745241155
(4R)-4-Hydroxy-L-glutamic acid	LDHB	-0.261399205	-0.123279391	5.26E-04	0.093739803	0.186589296	0.746442309
Dulcitol	LDHB	-0.230392085	-0.164000003	-0.003208425	0.122328675	0.18870402	0.750823464
Isovaleric acid	LDHB	-0.263045767	-0.096584436	-0.032348104	0.049181047	0.19151187	0.755351828
Coenzyme A	LDHB	0.485672793	0.882313456	0.101348374	0.599102681	0.192384335	0.756736647
3-Hydroxy-3-methylglutaryl coenzyme A	LDHB	-0.40412635	-0.194264583	-0.005737226	0.145384315	0.194716637	0.761130843
Maleic acid	LDHB	-0.238271828	-0.176140375	-0.023219903	0.118324413	0.196224509	0.763677515
D-Glyceraldehyde;L-Lactic acid;3-Hydroxypropionic acid	LDHB	-0.219414318	-0.068996847	-0.009653426	0.046087987	0.197881239	0.766002004
NADP	LDHB	-0.38558681	-0.217761354	0.010085447	0.178203043	0.201045087	0.771088076
D-Arabinonic acid	LDHB	-0.205408926	-0.07394065	-0.018129999	0.043661121	0.201154648	0.771339601
Propionyl coenzyme A	LDHB	-0.582306883	-0.406846523	0.209956773	0.484866383	0.203334097	0.774915614
L-Tyrosine	LDHB	0.035540612	0.122840778	-0.011081427	0.105738108	0.205317579	0.778906529
4-Imidazoleacetic acid	LDHB	-0.040768208	0.066119327	0.016721076	0.039582766	0.21204068	0.788636093
Isobutyrylglycine	LDHB	-0.231035972	-0.069932138	-0.015638863	0.043635298	0.213407106	0.791219889
6-Deoxy-L-galactonic acid	LDHB	-0.212729933	-0.205809573	-0.026453834	0.144370831	0.214116048	0.792325196
D-Sedoheptulose 7-phosphate	LDHB	-0.294837661	-0.258801499	-0.062820652	0.159708429	0.219778811	0.799467369
N-Glycolylneuraminic acid	LDHB	-0.20069638	-0.074106766	-0.014467026	0.048605071	0.2198124	0.799475293
N-Acetyl-D-galactosamine;N-Acetyl-D-glucosamine	LDHB	-0.028987658	0.101414421	-0.027917004	0.106235652	0.223451553	0.805126807
Leucinic acid;D-Leucic acid;2-Hydroxy-3-methylpentanoic acid	LDHB	-0.186390177	-0.073546435	-0.003311502	0.057926651	0.225328521	0.807798241
Nicotinic acid	LDHB	-0.050078085	0.116057976	0.018326192	0.08123791	0.22896404	0.812759006
L-Cysteic acid	LDHB	-0.15058115	-0.081978306	-0.017460025	0.054629618	0.237597617	0.824112402
L-Histidine	LDHB	-0.017478008	0.07320635	-0.006338209	0.067509521	0.238688301	0.82575997
Pyridoxamine-5-phosphate	LDHB	-0.227945702	-0.1104402	-0.042706714	0.057552062	0.239232203	0.825996998
L-Serine;D-Serine	LDHB	-0.231305256	-0.08687514	-0.014050661	0.061947159	0.239758632	0.826480667
Guanosine	LDHB	0.022050106	0.085456014	0.016767042	0.058649934	0.241530934	0.829606253
Phosphatidylglycerol	LDHB	-0.240865465	-0.196331214	0.031228628	0.195335149	0.244030612	0.83387862
L-Valine	LDHB	-0.258473911	-0.09539827	-0.032267114	0.054222064	0.244299419	0.833933884
O-Phospho-L-serine	LDHB	-0.308427766	-0.198215568	-0.041294091	0.134860229	0.244591822	0.834450866
N-Acetyl-D-glucosamine 6-phosphate	LDHB	-0.235869691	-0.066386213	-0.004095949	0.053648556	0.245609378	0.835584225
D-Glucuronic acid	LDHB	-0.218644653	-0.066476329	-0.024862403	0.035990685	0.247582368	0.837973541
Biocytin	LDHB	-0.190120764	-0.076784512	-0.01751799	0.051332463	0.24826975	0.838843092
3-Sulfopyruvic acid	LDHB	-1.012352256	-0.094412065	0.18289104	0.24084133	0.24957045	0.839898603
DL-Homocysteine	LDHB	-0.207339086	-0.083436668	-0.010024852	0.063821302	0.250032117	0.840189113
Epinephrine	LDHB	-0.265098695	-0.146565244	-0.035947243	0.096559437	0.251962802	0.843091508
3-Furoic acid	LDHB	0.011558429	0.186825085	-0.03282869	0.192228895	0.253176532	0.844620073
Phosphatidylserine	LDHB	-0.226233202	-0.169225018	0.017773673	0.166275937	0.260746405	0.853058978
3-methyl-2-oxobutyrate	LDHB	-0.204412709	-0.064519265	-0.01089795	0.047975898	0.263707137	0.856155033
L-Pyroglutamic acid;D-Pyroglutamic Acid	LDHB	-0.21924727	-0.082797782	-0.025269195	0.051851492	0.267219894	0.859072958
Putrescine	LDHB	-0.44469774	-0.329475566	-0.054179268	0.248852584	0.268612889	0.860130153
Xanthine	LDHB	0.198871715	0.266802324	0.081799141	0.167426665	0.269168081	0.860910601
Sarcosine	LDHB	-0.2879877	-0.176502622	-0.028159525	0.134826378	0.271222003	0.862657143
"2,5-Dihydroxybenzoic acid"	LDHB	-0.081566172	-0.14632317	0.035933846	0.166036749	0.272339518	0.863879519
2-Deoxyguanosine 5-monophosphate	LDHB	-0.174433366	-0.163283994	-0.026160347	0.125055638	0.272859537	0.864329795
Octanoic acid	LDHB	-0.157113355	-0.165873737	-0.027450138	0.126921513	0.275438532	0.867104825
N-methyl-4-pyridone-3-carboxamide	LDHB	-0.07655996	0.06963729	-0.014931284	0.077742688	0.276682967	0.86930596
Uridine 5-diphosphoglucose;Uridine 5-diphosphogalactose	LDHB	-0.273669233	-0.11600849	0.062164717	0.164412531	0.278499597	0.871371181
Uridine 5-triphosphate	LDHB	-0.717345981	-0.291412818	-0.008674552	0.260957409	0.278601999	0.871587916
Citric acid;Isocitric acid	LDHB	-0.036098794	0.166668246	-0.041302577	0.192391459	0.279707157	0.872615484
L-Ornithine;D-Ornithine	LDHB	-0.274991306	-0.14698705	0.011362401	0.147431071	0.282796902	0.874988889
3-Methyl-2-oxovaleric acid;4-Methyl-2-oxovaleric acid	LDHB	-0.165188793	-0.045690147	0.00165696	0.045073457	0.2935144	0.884071824
D-Lactaldehyde	LDHB	-0.223996561	-0.088421724	-0.021659218	0.063825301	0.29555205	0.886617204
Nicotinamide	LDHB	-0.023213221	0.083242043	0.019536423	0.061070053	0.296875837	0.887499241
L-Aspartic acid;D-Aspartic acid	LDHB	-0.183460838	-0.088489265	-0.014485291	0.071685546	0.301912103	0.892831576
N-Acetyl-D-mannosamine	LDHB	-0.139133995	-0.108207887	-0.00278905	0.102648892	0.304427687	0.895571739
2-Deoxyuridine 5-monophosphate	LDHB	-0.273746597	-0.220546268	-0.049836779	0.167448737	0.307978401	0.897865114
